302	0.40027
303.22	0.39009
304.44	0.38128
305.65	0.37373
306.87	0.3673
308.09	0.36187
309.31	0.35729
310.52	0.35342
311.74	0.35012
312.96	0.34725
314.18	0.34469
315.39	0.34234
316.61	0.34009
317.83	0.33788
319.05	0.33565
320.26	0.33335
321.48	0.33096
322.7	0.32848
323.92	0.32593
325.13	0.32331
326.35	0.32066
327.57	0.31802
328.79	0.31541
330	0.31287
331.22	0.31042
332.44	0.30805
333.66	0.30578
334.88	0.30356
336.09	0.30138
337.31	0.29915
338.53	0.29682
339.75	0.29431
340.96	0.29152
342.18	0.28836
343.4	0.28475
344.62	0.28058
345.83	0.27583
347.05	0.27043
348.27	0.26435
349.49	0.25758
350.7	0.25014
351.92	0.24206
353.14	0.23339
354.36	0.2242
355.57	0.21458
356.79	0.20461
358.01	0.19439
359.23	0.18404
360.44	0.17364
361.66	0.1633
362.88	0.15308
364.1	0.14306
365.32	0.13341
366.53	0.12414
367.75	0.11529
368.97	0.10691
370.19	0.099026
371.4	0.091664
372.62	0.084828
373.84	0.078525
375.06	0.072744
376.27	0.06744
377.49	0.062642
378.71	0.058328
379.93	0.054445
381.14	0.050967
382.36	0.047863
383.58	0.0451
384.8	0.042649
386.01	0.040478
387.23	0.038548
388.45	0.036842
389.67	0.035341
390.89	0.034011
392.1	0.032829
393.32	0.031779
394.54	0.03084
395.76	0.029994
396.97	0.029233
398.19	0.028544
399.41	0.027913
400.63	0.027333
401.84	0.026795
403.06	0.026289
404.28	0.02581
405.5	0.025357
406.71	0.024925
407.93	0.024506
409.15	0.0241
410.37	0.023703
411.58	0.023311
412.8	0.022927
414.02	0.022548
415.24	0.022171
416.45	0.021797
417.67	0.021422
418.89	0.021048
420.11	0.020676
421.33	0.020304
422.54	0.019928
423.76	0.019554
424.98	0.019181
426.2	0.018807
427.41	0.018433
428.63	0.018057
429.85	0.017682
431.07	0.017309
432.28	0.016936
433.5	0.016563
434.72	0.01619
435.94	0.01582
437.15	0.015452
438.37	0.015085
439.59	0.014721
440.81	0.014361
442.02	0.014003
443.24	0.013646
444.46	0.013294
445.68	0.012948
446.89	0.012604
448.11	0.012263
449.33	0.011928
450.55	0.011599
451.77	0.011272
452.98	0.010952
454.2	0.010639
455.42	0.010329
456.64	0.010024
457.85	0.0097283
459.07	0.0094372
460.29	0.0091524
461.51	0.0088764
462.72	0.0086069
463.94	0.0083434
465.16	0.008089
466.38	0.0078439
467.59	0.0076058
468.81	0.0073785
470.03	0.0071598
471.25	0.0069505
472.46	0.0067536
473.68	0.006566
474.9	0.0063922
476.12	0.0062319
477.33	0.0060831
478.55	0.0059494
479.77	0.0058311
480.99	0.0057281
482.21	0.005642
483.42	0.0055733
484.64	0.0055177
485.86	0.0054977
487.08	0.0054684
488.29	0.0053652
489.51	0.0053161
490.73	0.0052953
491.95	0.0052614
493.16	0.005231
494.38	0.0052006
495.6	0.00517
496.82	0.0051397
498.03	0.0051094
499.25	0.0050793
500.47	0.0050493
501.69	0.0050193
502.9	0.0049894
504.12	0.0049597
505.34	0.0049301
506.56	0.0049005
507.78	0.004871
508.99	0.0048417
510.21	0.0048124
511.43	0.0047831
512.65	0.004754
513.86	0.0047251
515.08	0.0046961
516.3	0.0046672
517.52	0.0046385
518.73	0.0046099
519.95	0.0045814
521.17	0.0045529
522.39	0.0045245
523.6	0.0044963
524.82	0.0044683
526.04	0.0044403
527.26	0.0044124
528.47	0.0043846
529.69	0.0043569
530.91	0.0043295
532.13	0.0043022
533.34	0.0042749
534.56	0.0042478
535.78	0.0042208
537	0.0041939
538.22	0.0041672
539.43	0.0041408
540.65	0.0041143
541.87	0.004088
543.09	0.0040619
544.3	0.0040358
545.52	0.0040099
546.74	0.0039842
547.96	0.0039586
549.17	0.0039331
550.39	0.0039078
551.61	0.0038826
552.83	0.0038575
554.04	0.0038325
555.26	0.0038076
556.48	0.0037829
557.7	0.0037582
558.91	0.0037336
560.13	0.0037092
561.35	0.0036848
562.57	0.0036606
563.78	0.0036364
565	0.0036123
566.22	0.0035883
567.44	0.0035643
568.66	0.0035405
569.87	0.0035167
571.09	0.003493
572.31	0.0034693
573.53	0.0034457
574.74	0.0034222
575.96	0.0033987
577.18	0.0033753
578.4	0.0033519
579.61	0.0033286
580.83	0.0033053
582.05	0.0032821
583.27	0.0032589
584.48	0.0032357
585.7	0.0032126
586.92	0.0031896
588.14	0.0031667
589.35	0.0031438
590.57	0.003121
591.79	0.0030982
593.01	0.0030755
594.22	0.0030527
595.44	0.00303
596.66	0.0030075
597.88	0.002985
599.1	0.0029626
600.31	0.0029403
601.53	0.002918
602.75	0.0028957
603.97	0.0028736
605.18	0.0028516
606.4	0.0028296
607.62	0.0028077
608.84	0.0027859
610.05	0.0027641
611.27	0.0027425
612.49	0.002721
613.71	0.0026995
614.92	0.0026781
616.14	0.0026569
617.36	0.0026357
618.58	0.0026146
619.79	0.0025936
621.01	0.0025727
622.23	0.0025519
623.45	0.0025313
624.67	0.0025107
625.88	0.0024902
627.1	0.0024698
628.32	0.0024496
629.54	0.0024294
630.75	0.0024093
631.97	0.0023893
633.19	0.0023694
634.41	0.0023497
635.62	0.00233
636.84	0.0023104
638.06	0.0022909
639.28	0.0022715
640.49	0.0022522
641.71	0.002233
642.93	0.0022139
644.15	0.0021949
645.36	0.002176
646.58	0.0021571
647.8	0.0021384
649.02	0.0021197
650.23	0.0021011
651.45	0.0020826
652.67	0.0020642
653.89	0.0020458
655.11	0.0020275
656.32	0.0020094
657.54	0.0019913
658.76	0.0019732
659.98	0.0019552
