302	1629.4	1629.9
304	1564.4	1564.9
306	1513.7	1514.2
308	1474.9	1475.4
310	1445.6	1446
312	1423.1	1423.5
314	1405.1	1405.5
316	1389.5	1389.9
318	1374.7	1375.1
320	1359.6	1360
322	1343.6	1344
324	1326.6	1327
326	1309	1309.4
328	1291.3	1291.7
330	1274.2	1274.6
332	1257.9	1258.3
334	1242.7	1243
336	1228	1228.3
338	1212.9	1213.3
340	1196.2	1196.5
342	1176.2	1176.6
344	1151.3	1151.7
346	1120.2	1120.6
348	1082	1082.3
350	1036.3	1036.6
352	983.33	983.63
354	924	924.28
356	859.64	859.91
358	791.9	792.14
360	722.58	722.8
362	653.54	653.75
364	586.01	586.19
366	522.16	522.32
368	462.72	462.86
370	408.48	408.61
372	359.9	360.01
374	317.12	317.22
376	279.94	280.03
378	248.19	248.27
380	221.5	221.57
382	199.22	199.28
384	180.79	180.84
386	165.66	165.71
388	153.22	153.26
390	143.1	143.14
392	134.8	134.84
394	127.95	127.99
396	122.21	122.25
398	117.38	117.41
400	113.21	113.24
402	109.55	109.58
404	106.24	106.27
406	103.22	103.25
408	100.39	100.42
410	97.695	97.725
412	95.07	95.099
414	92.518	92.546
416	89.998	90.026
418	87.487	87.514
420	84.986	85.012
422	82.486	82.512
424	79.975	80
426	77.471	77.495
428	74.959	74.983
430	72.444	72.466
432	69.944	69.966
434	67.441	67.462
436	64.957	64.977
438	62.491	62.51
440	60.051	60.07
442	57.646	57.663
444	55.262	55.279
446	52.938	52.955
448	50.64	50.656
450	48.405	48.419
452	46.213	46.227
454	44.092	44.105
456	42.018	42.031
458	40.02	40.032
460	38.084	38.096
462	36.235	36.246
464	34.456	34.467
466	32.773	32.783
468	31.179	31.188
470	29.692	29.701
472	28.312	28.321
474	27.051	27.06
476	25.938	25.946
478	24.961	24.968
480	24.151	24.158
482	23.514	23.521
484	23.06	23.067
486	22.862	22.869
488	22.42	22.427
490	22.089	22.096
492	21.882	21.889
494	21.675	21.682
496	21.467	21.473
498	21.26	21.267
500	21.055	21.062
502	20.851	20.857
504	20.648	20.654
506	20.446	20.452
508	20.245	20.251
510	20.045	20.051
512	19.846	19.852
514	19.649	19.655
516	19.452	19.458
518	19.256	19.262
520	19.062	19.068
522	18.869	18.874
524	18.676	18.682
526	18.486	18.492
528	18.297	18.302
530	18.108	18.114
532	17.922	17.928
534	17.737	17.742
536	17.553	17.559
538	17.371	17.376
540	17.191	17.196
542	17.012	17.017
544	16.834	16.84
546	16.658	16.663
548	16.484	16.489
550	16.311	16.316
552	16.14	16.144
554	15.969	15.974
556	15.8	15.805
558	15.632	15.637
560	15.466	15.47
562	15.3	15.305
564	15.135	15.14
566	14.972	14.976
568	14.809	14.814
570	14.647	14.652
572	14.486	14.491
574	14.326	14.33
576	14.166	14.171
578	14.007	14.012
580	13.849	13.853
582	13.691	13.696
584	13.534	13.538
586	13.377	13.381
588	13.221	13.225
590	13.066	13.07
592	12.912	12.916
594	12.758	12.762
596	12.604	12.608
598	12.452	12.456
600	12.3	12.304
602	12.149	12.153
604	11.999	12.003
606	11.85	11.854
608	11.702	11.706
610	11.555	11.558
612	11.409	11.412
614	11.263	11.266
616	11.119	11.122
618	10.976	10.979
620	10.834	10.837
622	10.692	10.696
624	10.553	10.556
626	10.414	10.417
628	10.276	10.279
630	10.139	10.142
632	10.004	10.007
634	9.8695	9.8725
636	9.7361	9.739
638	9.604	9.6069
640	9.4726	9.4755
642	9.3425	9.3453
644	9.2134	9.2162
646	9.085	9.0878
648	8.958	8.9608
650	8.8313	8.834
652	8.7062	8.7088
654	8.5815	8.5841
656	8.4578	8.4604
658	8.3351	8.3377
660	8.2128	8.2154
662	8.092	8.0945
664	7.9714	7.9738
666	7.8515	7.8539
668	7.7329	7.7353
670	7.6146	7.6169
672	7.4969	7.4992
674	7.3804	7.3827
676	7.2643	7.2665
678	7.1487	7.1509
680	7.0338	7.0359
682	6.9195	6.9216
684	6.8058	6.8079
686	6.693	6.695
688	6.5809	6.583
690	6.4691	6.4711
692	6.3579	6.3599
694	6.2473	6.2493
696	6.1373	6.1392
698	6.0279	6.0298
700	5.919	5.9208
702	5.8103	5.8121
704	5.7026	5.7044
706	5.5955	5.5972
708	5.4889	5.4906
710	5.3829	5.3845
712	5.2774	5.2791
714	5.172	5.1736
716	5.0676	5.0692
718	4.9638	4.9653
720	4.8605	4.862
722	4.7572	4.7586
724	4.655	4.6564
726	4.5529	4.5543
728	4.4516	4.4529
730	4.3508	4.3522
732	4.2502	4.2515
734	4.1507	4.152
736	4.0511	4.0523
738	3.9523	3.9535
740	3.8538	3.855
742	3.7563	3.7574
744	3.6586	3.6598
746	3.5619	3.563
748	3.4654	3.4665
750	3.3694	3.3704
752	3.2737	3.2747
754	3.1789	3.1798
756	3.0844	3.0853
758	2.9902	2.9912
760	2.8965	2.8974
762	2.8036	2.8044
764	2.7106	2.7114
766	2.6187	2.6195
768	2.5267	2.5275
770	2.4352	2.4359
772	2.3446	2.3453
774	2.254	2.2547
776	2.1635	2.1642
778	2.0756	2.0762
780	1.9841	1.9848
782	1.9799	1.9805
784	1.9734	1.974
786	1.9691	1.9697
788	1.9643	1.9649
790	1.9597	1.9603
792	1.955	1.9556
794	1.9504	1.951
796	1.9458	1.9463
798	1.9412	1.9418
800	1.9366	1.9372
802	1.9321	1.9326
804	1.9275	1.9281
806	1.923	1.9236
808	1.9186	1.9191
810	1.9141	1.9147
812	1.9096	1.9102
814	1.9052	1.9058
816	1.9008	1.9014
818	1.8964	1.897
820	1.892	1.8926
