302	277.2
303.22	274.66
304.44	272.08
305.65	269.47
306.87	266.82
308.09	264.12
309.31	261.37
310.52	258.55
311.74	255.69
312.96	252.78
314.18	249.86
315.39	246.94
316.61	244.03
317.83	241.16
319.05	238.33
320.26	235.58
321.48	232.9
322.7	230.31
323.92	227.83
325.13	225.48
326.35	223.26
327.57	221.2
328.79	219.31
330	217.6
331.22	216.09
332.44	214.79
333.66	213.66
334.88	212.71
336.09	211.92
337.31	211.27
338.53	210.75
339.75	210.35
340.96	210.05
342.18	209.85
343.4	209.72
344.62	209.66
345.83	209.66
347.05	209.71
348.27	209.78
349.49	209.88
350.7	209.98
351.92	210.09
353.14	210.17
354.36	210.24
355.57	210.26
356.79	210.27
358.01	210.25
359.23	210.21
360.44	210.18
361.66	210.15
362.88	210.12
364.1	210.11
365.32	210.13
366.53	210.18
367.75	210.26
368.97	210.38
370.19	210.55
371.4	210.77
372.62	211.05
373.84	211.39
375.06	211.8
376.27	212.28
377.49	212.83
378.71	213.46
379.93	214.16
381.14	214.95
382.36	215.81
383.58	216.75
384.8	217.76
386.01	218.83
387.23	219.98
388.45	221.18
389.67	222.44
390.89	223.76
392.1	225.14
393.32	226.57
394.54	228.07
395.76	229.63
396.97	231.26
398.19	232.97
399.41	234.76
400.63	236.65
401.84	238.66
403.06	240.81
404.28	243.11
405.5	245.6
406.71	248.32
407.93	251.29
409.15	254.57
410.37	258.22
411.58	262.28
412.8	266.85
414.02	272
415.24	277.82
416.45	284.36
417.67	291.69
418.89	299.9
420.11	309.11
421.33	319.44
422.54	331.07
423.76	344.2
424.98	359.09
426.2	376.03
427.41	395.38
428.63	417.59
429.85	443.17
431.07	472.71
432.28	506.94
433.5	546.67
434.72	592.85
435.94	646.54
437.15	708.88
438.37	780.94
439.59	863.52
440.81	956.74
442.02	1059.3
443.24	1167.8
444.46	1275.3
445.68	1371.1
446.89	1441.9
448.11	1474.2
449.33	1460.1
450.55	1400.2
451.77	1304
452.98	1185.9
454.2	1059.7
455.42	936.22
456.64	821.92
457.85	719.96
459.07	631.09
460.29	554.71
461.51	489.55
462.72	434.16
463.94	387.09
465.16	347.04
466.38	312.88
467.59	283.63
468.81	258.49
470.03	236.79
471.25	217.98
472.46	201.59
473.68	187.26
474.9	174.66
476.12	163.54
477.33	153.68
478.55	144.89
479.77	137.02
480.99	129.94
482.21	123.55
483.42	117.75
484.64	112.46
485.86	107.61
487.08	103.14
488.29	99.001
489.51	95.153
490.73	91.554
491.95	88.173
493.16	84.979
494.38	81.949
495.6	79.059
496.82	76.291
498.03	73.637
499.25	71.09
500.47	68.645
501.69	66.299
502.9	64.046
504.12	61.883
505.34	59.806
506.56	57.81
507.78	55.893
508.99	54.051
510.21	52.28
511.43	50.579
512.65	48.943
